"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Bosnia",2007,-66,-66,-66,NA,0,-66,-66,-66,"BIH",26215.619140625,25204.455078125,3.779034,0,0,0,0,0,0,0,0,0,0,0,8885.08527758399,82.8138217882412,22.817809048225,21.2879801469077,1.5155084413032,3840418,NA,3.76809422285162,0.12824791202026,0,0,0.236122426902624
"Bosnia",2008,-66,-66,-66,NA,0,-66,-66,-66,"BIH",27950.185546875,26610.345703125,3.774164,0,0,0,0,0,0,0,0,0,0,0,9368.28886262923,85.6316068977585,24.2249315525112,22.2961140590285,7.41685649202741,3839749,NA,2.40506717231753,1.02307596953255,0,0,0.220056545088756
"Bosnia",2009,-66,-66,-66,NA,0,-66,-66,-66,"BIH",27940.1484375,25835.43359375,3.767683,0,0,0,0,0,0,0,0,0,0,0,9100.45205233028,73.6076896915047,19.79025346478,23.590252502104,-0.390194248876128,3837732,NA,2.30904188128835,0.143957373930733,0,0,0.509887757657332
"Bosnia",2010,-66,-66,-66,NA,0,-66,-66,-66,"BIH",28520.984375,26021.26953125,3.760149,0,0,0,0,0,0,0,0,0,0,0,9170.06672616229,80.1681985464429,17.281088680985,23.2317469410471,2.18853785233759,3835258,NA,2.9799381425406,0.491423795028719,0,0,0.294598844107778
"Bosnia",2011,-66,-66,-66,NA,0,-66,-66,-66,"BIH",28465.8359375,26463.630859375,3.752228,0,0,0,0,0,0,0,0,0,0,0,9265.01588751072,86.4423278840016,18.6259409941219,23.1840906787512,3.67500000000001,3832310,NA,3.38690881126077,1.06211600270669,0,0,0.16759811112295
"Bosnia",2012,-66,-66,-66,NA,0,-66,-66,-66,"BIH",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,9162.30232142648,86.0597765116952,18.5874957187526,23.3767378833606,2.04967446346758,3828419,NA,3.34764030531205,0.50127955491425,0,0,0.234526146836149
"Bosnia",2013,-66,-66,-66,NA,0,-66,-66,-66,"BIH",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,9401.52607199003,85.0236886336199,17.8837766086194,22.7630795531728,-0.0866414618780738,3823533,NA,3.04263823433028,0,0,0,NA
"Bosnia",2014,-66,-66,-66,NA,0,-66,-66,-66,"BIH",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,9533.57925959855,NA,NA,NA,-0.930232558139238,3817554,NA,NA,NA,0,0,NA
"Botswana",1966,6,0,6,6,0,7,5,9,"BWA",298.698333740234,460.735778808594,0.647828781273598,0,0,0,0,0,0,0,0,0,0,0,NA,80.2168021680217,23.1707317073171,26.2872628726287,NA,612950,NA,31.3822857488372,NA,0,0,-0.109901764896668
"Botswana",1967,6,0,6,6,1,7,5,9,"BWA",343.069976806641,549.976928710938,0.656818278488491,0,0,0,0,0,0,0,0,0,0,0,NA,75.3873411098824,22.4735133592552,25.8029227458115,NA,631276,NA,29.3243584797312,NA,0,0,0.0345964604973085
"Botswana",1968,6,0,6,6,2,7,5,9,"BWA",404.576721191406,628.477478027344,0.666785514048826,0,0,0,0,0,0,0,0,0,0,0,NA,86,20.8421052631579,23.6842105263158,NA,650730,NA,23.7909795805748,NA,0,0,0.0286880168844388
"Botswana",1969,6,0,6,6,3,7,5,9,"BWA",406.628631591797,627.064636230469,0.678571770098921,0,0,0,0,0,0,0,0,0,0,0,NA,75.3375337533753,24.4824482448245,20.7020702070207,NA,671305,NA,16.1911278595781,NA,0,0,0.0366448029800804
